sample_idx,reference,baseline_prediction,speculative_prediction,baseline_time_s,speculative_time_s,per_sample_speedup,outputs_identical
34,that s funny remarked betsy thoughtfully, that s funny remarked betsy thoughtfully , that s funny remarked betsy thoughtfully ,0.6054611580000255,0.46186220599997796,1.3109129739012557,True
35,i don t believe ann knew any magic or she d have worked it before, i don t believe anne knew any magic or she d have worked it before , i don t believe anne knew any magic or she d have worked it before ,1.1114359309999884,0.5903141210000058,1.882787301644064,True
36,i do not know confessed shaggy, i do not know confessed shaggy , i do not know confessed shaggy ,0.5125257960000056,0.5464600849999783,0.9379016145342545,True
37,true agreed kaliko, true agreed calico , true agreed calico ,0.3899081540000111,0.41436851299999944,0.94096955190225,True
38,kaliko went to the big gong and pounded on it just as ruggedo used to do but no one answered the summons, calico went to the big gong and pounded on it just as brigado used to do but no one answered the summons , calico went to the big gong and pounded on it just as brigado used to do but no one answered the summons ,1.1439445400000068,0.7767962119999652,1.472644333646748,True
39,having returned to the royal cavern kaliko first pounded the gong and then sat in the throne wearing ruggedo s discarded ruby crown and holding in his hand the sceptre which ruggedo had so often thrown at his head, having returned to the royal cavern calico first pounded the gong and then sat in the throne wearing ruggedo s discarded ruby crown and holding in his hand the sceptre which ruggedo had so often thrown at his head, having returned to the royal cavern calico first pounded the gong and then sat in the throne wearing ruggedo s discarded ruby crown and holding in his hand the sceptre which ruggedo had so often thrown at his head,1.7669742639999981,0.8208758130000433,2.152547603445961,True
40,a man said to the universe sir i exist, a man said to the universe sir i exist , a man said to the universe sir i exist ,0.7184901260000061,0.45259378399998695,1.5874944628051426,True
41,sweat covered brion s body trickling into the tight loincloth that was the only garment he wore, sweat covered breon s body trickling into the tight loincloth that was the only garment he wore , sweat covered breon s body trickling into the tight loincloth that was the only garment he wore ,1.3425353680000285,0.694198694000022,1.9339353121859748,True
42,the cut on his chest still dripping blood the ache of his overstrained eyes even the soaring arena around him with the thousands of spectators were trivialities not worth thinking about, the cut on his chest still dripping blood the ache of his overstrained eyes even the soaring arena around him with the thousands of spectators were trivialities not worth thinking about, the cut on his chest still dripping blood the ache of his overstrained eyes even the soaring arena around him with the thousands of spectators were trivialities not worth thinking about,1.3763327149999895,0.8980595490000383,1.5325628646034595,True
43,his instant of panic was followed by a small sharp blow high on his chest, his instant panic was followed by a small sharp blow high on his chest , his instant panic was followed by a small sharp blow high on his chest ,0.7176686499999505,0.7531934189999561,0.9528344670786248,True
44,one minute a voice said and the time buzzer sounded, one minute a voice said and a time buzzer sounded , one minute a voice said and a time buzzer sounded ,0.643566189000012,0.6305747669999846,1.0206025085047967,True
45,a minute is not a very large measure of time and his body needed every fraction of it, a minute is not a very large measure of time and his body needed every fraction of it , a minute is not a very large measure of time and his body needed every fraction of it ,0.8390295439999704,0.5446409060000406,1.5405187799094693,True
46,the buzzer s whirr triggered his muscles into complete relaxation, the buzzer s whirr triggered his muscles into complete relaxation , the buzzer s whirr triggered his muscles into complete relaxation ,0.6525187749999759,0.7771860280000169,0.8395914896709411,True
47,only his heart and lungs worked on at a strong measured rate, only his heart and lungs worked on at a strong measured rate , only his heart and lungs worked on at a strong measured rate ,0.6100191790000054,0.48570565599999327,1.2559441535513307,True
48,he was in reverie sliding along the borders of consciousness, he was in reverie sliding along the borders of consciousness , he was in reverie sliding along the borders of consciousness ,0.6143994569999904,0.4583802920000153,1.3403705781486128,True
49,the contestants in the twenties needed undisturbed rest therefore nights in the dormitories were as quiet as death, the contestants in the twenties needed undisturbed rest therefore nights in the dormitories were as quiet as death , the contestants in the twenties needed undisturbed rest therefore nights in the dormitories were as quiet as death ,1.0371893280000108,0.5908372719999875,1.7554568358375888,True
50,particularly so on this last night when only two of the little cubicles were occupied the thousands of others standing with dark empty doors, particularly so on this last night when only two of the little cubicles were occupied the thousands of others standing with dark empty doors, particularly so on this last night when only two of the little cubicles were occupied the thousands of others standing with dark empty doors,0.9989177659999768,0.6423296380000352,1.555148177671232,True
51,the other voice snapped with a harsh urgency clearly used to command, the other voice snapped with a harsh urgency clearly used to command , the other voice snapped with a harsh urgency clearly used to command ,0.6602486209999938,0.5998054199999956,1.1007713484816437,True
52,i m here because the matter is of utmost importance and brandd is the one i must see now stand aside, i m here because the matter is of utmost importance and brand is the one i must see now stand aside , i m here because the matter is of utmost importance and brand is the one i must see now stand aside the next morning ,0.9819067269999664,0.8680072919999589,1.1312194448707615,False
53,the twenties, the 20s, the 20s,0.2910012119999692,0.48335333400001446,0.6020465600015091,True
54,he must have drawn his gun because the intruder said quickly put that away you re being a fool out, he must have drawn his gun because the intruder said quickly put that away you re being a fool out , he must have drawn his gun because the intruder said quickly put that away you re being a fool out ,1.3716106219999915,0.9386365519999913,1.4612797883029855,True
55,there was silence then and still wondering brion was once more asleep, through silence then and still wondering brienne was once more asleep , through silence then and still wondering brienne was once more asleep ,0.9442845669999542,0.7699637910000092,1.2264012646277063,True
56,ten seconds, 10 seconds , 10 seconds ,0.4113838289999876,0.3924587149999752,1.048221923164615,True
57,he asked the handler who was kneading his aching muscles, he asked the handler who was kneading his aching muscles , he asked the handler who was kneading his aching muscles ,0.6206394870000054,0.6610859040000037,0.9388182129504337,True
58,a red haired mountain of a man with an apparently inexhaustible store of energy, a red haired mountain of a man with an apparently inexhaustible store of energy , a red haired mountain of a man with an apparently inexhaustible store of energy ,0.8488463560000241,0.4918609909999532,1.7257850724740742,True
59,there could be little art in this last and final round of fencing, there could be little art in this last and final round of fencing , there could be little art in this last and final round of fencing ,0.7075323499999513,0.4690593130000025,1.5084069975601306,True
60,just thrust and parry and victory to the stronger, just thrust and parry and victory to the stronger , just thrust and parry and victory to the stronger ,0.5536879179999801,0.4443709109999645,1.2460039671679235,True
61,every man who entered the twenties had his own training tricks, every man who entered the twenties had his own training tricks , every man who entered the twenties had his own training tricks ,0.6059504649999781,0.4544711409999991,1.3333090054225891,True
62,there appeared to be an immediate association with the death trauma as if the two were inextricably linked into one, there appeared to be an immediate association with the death trauma as if the two were inextricably linked into one , there appeared to be an immediate association with the death trauma as if the two were inextricably linked into one ,1.0173819010000216,0.6600399569999809,1.5413944113690243,True
63,the strength that enables someone in a trance to hold his body stiff and unsupported except at two points the head and heels, the strength that enables someone in a trance to hold his body stiff and unsupported except at two points the head and heels, the strength that enables someone in a trance to hold his body stiff and unsupported except at two points the head and heels,1.052267927999992,0.8951955259999522,1.1754615583278152,True
64,this is physically impossible when conscious, this is physically impossible when conscious , this is physically impossible when conscious ,0.41752921899995954,0.4510326679999821,0.9257183539529693,True
65,others had died before during the twenties and death during the last round was in some ways easier than defeat, others had died before during the 20s and death during the last round was in some ways easier than defeat , others had died before during the 20s and death during the last round was in some ways easier than defeat ,0.9987490959999832,0.7957834739999612,1.2550513156296481,True
66,breathing deeply brion softly spoke the auto hypnotic phrases that triggered the process, breathing deeply brienne softly spoke the auto hypnotic phrases that triggered the process , breathing deeply brienne softly spoke the auto hypnotic phrases that triggered the process ,0.8649236819999828,0.6998956599999815,1.2357894632465727,True
67,when the buzzer sounded he pulled his foil from his second s startled grasp and ran forward, when the buzzer sounded he pulled his foil from his second startled grasp and ran forward , when the buzzer sounded he pulled his foil from his second startled grasp and ran forward ,0.8172023490000129,0.49628817899997557,1.6466286798260676,True
68,irolg looked amazed at the sudden fury of the attack then smiled, iroh looked amazed at the sudden fury of the attack then smiled , iroh looked amazed at the sudden fury of the attack then smiled ,0.7203789859999574,0.5392777479999609,1.3358218258989052,True
69,he thought it was a last burst of energy he knew how close they both were to exhaustion, he thought it was the last burst of energy he knew how close they both were to exhaustion , he thought it was the last burst of energy he knew how close they both were to exhaustion ,1.020823192000023,0.4909362629999805,2.0793395577707887,True
70,brion saw something close to panic on his opponent s face when the man finally recognized his error, breon saw something close to panic on his opponent s face when the man finally recognized his error , breon saw something close to panic on his opponent s face when the man finally recognized his error ,1.0806600310000363,0.5748052929999972,1.880045372164034,True
71,a wave of despair rolled out from irolg brion sensed it and knew the fifth point was his, a wave of despair rolled out from irolg brienne sensed it and knew the fifth point was his , a wave of despair rolled out from irolg brienne sensed it and knew the fifth point was his ,1.1699090500000011,0.9404350010000257,1.244008409678458,True
72,then the powerful twist that thrust it aside in and under the guard, then the powerful twist that thrust it aside in and under the guard , then the powerful twist that thrust it aside in and under the guard ,0.7064733889999957,0.5545214480000027,1.2740235594998883,True
